age,gender,height_cm,weight_kg,activity_level,activity_level_encoded,calorie_needs,protein_g,fat_g,carb_g
56,0,172,81,light,1.375,1985.5,99.275,66.18333333333334,248.1875
46,1,175,80,active,1.725,2878.59375,143.9296875,95.953125,359.82421875
32,1,183,65,sedentary,1.2,1966.5,98.325,65.55,245.8125
60,1,195,81,moderate,1.55,2687.3125,134.365625,89.57708333333333,335.9140625
25,0,183,81,moderate,1.55,2585.0125000000003,129.250625,86.16708333333334,323.12656250000003
38,0,178,83,light,1.375,2188.3125,109.415625,72.94375,273.5390625
56,0,153,60,active,1.725,1923.80625,96.1903125,64.126875,240.47578125
36,0,166,59,active,1.725,2219.2125,110.96062500000001,73.97375,277.4015625
40,0,184,64,active,1.725,2465.025,123.25125000000001,82.1675,308.128125
28,0,162,66,light,1.375,1885.8125,94.290625,62.860416666666666,235.7265625
28,0,190,89,active,1.725,3064.4625,153.223125,102.14875,383.0578125
41,0,188,67,moderate,1.55,2292.4500000000003,114.62250000000002,76.415,286.55625000000003
53,1,164,58,sedentary,1.2,1614.0,80.7,53.8,201.75
57,1,178,74,moderate,1.55,2437.375,121.86875,81.24583333333334,304.671875
41,0,178,89,moderate,1.55,2536.5750000000003,126.82875000000001,84.55250000000001,317.07187500000003
20,0,160,63,sedentary,1.2,1642.8,82.14,54.76,205.35
39,1,181,74,moderate,1.55,2605.9375,130.296875,86.86458333333333,325.7421875
19,0,151,99,light,1.375,2306.90625,115.3453125,76.896875,288.36328125
41,0,196,71,sedentary,1.2,1882.8,94.14,62.75999999999999,235.35
61,0,163,79,moderate,1.55,2081.2625000000003,104.06312500000001,69.37541666666668,260.15781250000003
47,1,169,69,very_active,1.9,2880.875,144.04375000000002,96.02916666666665,360.109375
55,1,171,70,moderate,1.55,2323.0625,116.153125,77.43541666666665,290.3828125
19,1,160,93,light,1.375,2530.0,126.5,84.33333333333333,316.25
38,1,176,81,active,1.725,2975.625,148.78125,99.1875,371.953125
50,1,152,95,moderate,1.55,2565.25,128.26250000000002,85.50833333333333,320.65625
29,0,166,98,active,1.725,2952.3375,147.61687500000002,98.41125,369.0421875
39,1,193,70,very_active,1.9,3260.875,163.04375000000002,108.69583333333333,407.609375
61,0,177,84,moderate,1.55,2294.3875000000003,114.71937500000001,76.47958333333334,286.79843750000003
42,0,178,81,sedentary,1.2,1861.8,93.09,62.059999999999995,232.725
44,1,170,79,active,1.725,2824.6875,141.234375,94.15625,353.0859375
59,1,196,88,very_active,1.9,3448.5,172.425,114.94999999999999,431.0625
45,0,165,98,sedentary,1.2,1950.3,97.515,65.00999999999999,243.7875
33,0,186,61,sedentary,1.2,1735.8,86.79,57.86,216.975
32,0,169,90,sedentary,1.2,1962.3,98.11500000000001,65.41,245.2875
64,1,155,96,sedentary,1.2,1936.5,96.825,64.55,242.0625
61,1,168,67,moderate,1.55,2201.0,110.05000000000001,73.36666666666666,275.125
20,1,154,70,moderate,1.55,2429.625,121.48125,80.9875,303.703125
54,1,152,62,moderate,1.55,2022.75,101.1375,67.425,252.84375
24,1,150,70,very_active,1.9,2892.75,144.63750000000002,96.425,361.59375
38,0,187,57,very_active,1.9,2636.725,131.83625,87.89083333333332,329.590625
26,1,164,95,very_active,1.9,3515.0,175.75,117.16666666666667,439.375
56,0,183,89,light,1.375,2190.03125,109.5015625,73.00104166666667,273.75390625
35,0,184,95,very_active,1.9,3351.6,167.58,111.71999999999998,418.95
21,0,198,56,moderate,1.55,2373.8250000000003,118.69125000000003,79.1275,296.72812500000003
42,1,174,72,moderate,1.55,2483.875,124.19375000000001,82.79583333333333,310.484375
31,1,173,93,light,1.375,2559.21875,127.9609375,85.30729166666667,319.90234375
26,1,161,81,light,1.375,2325.46875,116.2734375,77.515625,290.68359375
43,0,167,60,very_active,1.9,2408.725,120.43625,80.29083333333332,301.090625
19,0,164,71,active,1.725,2551.275,127.56375000000001,85.0425,318.909375
37,0,193,71,light,1.375,2159.09375,107.9546875,71.96979166666667,269.88671875
45,0,165,92,sedentary,1.2,1878.3,93.915,62.61,234.7875
64,0,176,74,moderate,1.55,2106.4500000000003,105.32250000000002,70.215,263.30625000000003
24,0,157,71,sedentary,1.2,1692.3,84.61500000000001,56.41,211.5375
61,1,195,77,moderate,1.55,2617.5625,130.878125,87.25208333333333,327.1953125
25,1,174,78,moderate,1.55,2708.625,135.43125,90.2875,338.578125
64,1,166,62,light,1.375,1845.9375,92.296875,61.53125,230.7421875
52,1,178,67,light,1.375,2100.3125,105.015625,70.01041666666667,262.5390625
31,0,157,51,sedentary,1.2,1410.3,70.515,47.01,176.2875
34,0,164,78,moderate,1.55,2284.7000000000003,114.23500000000001,76.15666666666668,285.58750000000003
53,1,176,70,sedentary,1.2,1848.0,92.4,61.599999999999994,231.0
57,0,195,64,active,1.725,2436.99375,121.84968750000002,81.233125,304.62421875
21,1,199,76,sedentary,1.2,2284.5,114.22500000000001,76.15,285.5625
19,1,156,99,very_active,1.9,3562.5,178.125,118.75,445.3125
23,1,152,80,sedentary,1.2,1968.0,98.4,65.6,246.0
59,0,178,64,very_active,1.9,2463.35,123.1675,82.11166666666666,307.91875
21,1,193,72,very_active,1.9,3469.875,173.49375,115.66249999999998,433.734375
46,1,173,73,very_active,1.9,3013.875,150.69375,100.4625,376.734375
35,1,152,93,active,1.725,2949.75,147.4875,98.32499999999999,368.71875
43,0,169,62,sedentary,1.2,1560.3,78.015,52.01,195.0375
61,0,195,71,sedentary,1.2,1755.3,87.765,58.50999999999999,219.4125
51,1,164,92,active,1.725,2923.875,146.19375,97.4625,365.484375
27,0,174,86,moderate,1.55,2559.8250000000003,127.99125000000002,85.32750000000001,319.97812500000003
53,0,179,82,light,1.375,2080.03125,104.0015625,69.334375,260.00390625
31,0,163,52,sedentary,1.2,1467.3,73.365,48.91,183.4125
48,0,156,68,light,1.375,1724.25,86.2125,57.474999999999994,215.53125
32,0,166,72,active,1.725,2477.9625,123.89812500000001,82.59875,309.7453125
25,0,193,78,moderate,1.55,2635.3875000000003,131.76937500000003,87.84625,329.42343750000003
31,0,169,79,moderate,1.55,2371.8875000000003,118.59437500000001,79.06291666666668,296.48593750000003
40,0,185,88,moderate,1.55,2596.6375000000003,129.83187500000003,86.55458333333334,324.57968750000003
57,0,158,93,active,1.725,2538.3375,126.916875,84.61125,317.2921875
38,0,187,96,very_active,1.9,3377.725,168.88625000000002,112.59083333333332,422.215625
33,1,197,74,very_active,1.9,3441.375,172.06875000000002,114.71249999999999,430.171875
62,1,171,86,light,1.375,2232.65625,111.6328125,74.421875,279.08203125
35,0,151,96,very_active,1.9,2978.725,148.93625,99.29083333333332,372.340625
64,1,173,57,very_active,1.9,2538.875,126.94375000000001,84.62916666666666,317.359375
41,1,157,91,moderate,1.55,2621.4375,131.071875,87.38125,327.6796875
43,0,160,65,moderate,1.55,1974.7,98.73500000000001,65.82333333333332,246.8375
42,0,162,57,light,1.375,1665.8125,83.290625,55.52708333333333,208.2265625
62,0,166,50,sedentary,1.2,1279.8,63.99,42.66,159.975
58,1,157,93,light,1.375,2236.09375,111.8046875,74.53645833333333,279.51171875
46,1,170,54,light,1.375,1894.0625,94.703125,63.135416666666664,236.7578125
32,0,167,52,active,1.725,2143.74375,107.18718750000001,71.458125,267.96796875
62,0,179,50,active,1.725,1979.86875,98.99343750000001,65.995625,247.48359375
18,0,167,53,light,1.375,1818.78125,90.9390625,60.626041666666666,227.34765625
42,1,195,89,light,1.375,2617.65625,130.8828125,87.25520833333333,327.20703125
24,1,196,84,light,1.375,2681.25,134.0625,89.375,335.15625
26,1,180,81,very_active,1.9,3439.0,171.95000000000002,114.63333333333334,429.875
41,1,187,91,active,1.725,3240.84375,162.0421875,108.02812499999999,405.10546875
18,0,181,83,light,1.375,2351.59375,117.5796875,78.38645833333334,293.94921875
61,0,160,92,moderate,1.55,2253.7000000000003,112.68500000000002,75.12333333333333,281.71250000000003
25,0,194,74,moderate,1.55,2583.0750000000003,129.15375000000003,86.1025,322.88437500000003
41,0,174,59,very_active,1.9,2491.85,124.5925,83.06166666666667,311.48125
28,1,182,70,very_active,1.9,3234.75,161.7375,107.82499999999999,404.34375
34,1,187,95,sedentary,1.2,2344.5,117.22500000000001,78.15,293.0625
25,0,190,88,sedentary,1.2,2137.7999999999997,106.88999999999999,71.25999999999999,267.22499999999997
52,0,157,76,sedentary,1.2,1584.3,79.215,52.809999999999995,198.0375
52,1,160,76,very_active,1.9,2859.5,142.975,95.31666666666666,357.4375
50,0,171,51,very_active,1.9,2218.725,110.93625,73.9575,277.340625
22,1,173,90,very_active,1.9,3564.875,178.24375,118.82916666666665,445.609375
59,0,190,97,moderate,1.55,2637.3250000000003,131.86625,87.91083333333334,329.66562500000003
56,0,166,62,very_active,1.9,2311.35,115.5675,77.045,288.91875
58,0,161,58,moderate,1.55,1759.6375,87.981875,58.654583333333335,219.9546875
45,0,195,85,sedentary,1.2,2019.3,100.965,67.31,252.4125
24,0,181,71,sedentary,1.2,1872.3,93.61500000000001,62.41,234.0375
26,0,164,91,sedentary,1.2,1972.8,98.64,65.75999999999999,246.6
25,0,165,75,light,1.375,2055.96875,102.7984375,68.53229166666667,256.99609375
29,1,171,61,light,1.375,2115.78125,105.7890625,70.52604166666667,264.47265625
51,1,177,66,active,1.725,2615.53125,130.7765625,87.18437499999999,326.94140625
50,1,169,63,active,1.725,2486.15625,124.30781250000001,82.87187499999999,310.76953125
40,1,182,63,active,1.725,2712.5625,135.628125,90.41874999999999,339.0703125
41,1,159,83,light,1.375,2232.65625,111.6328125,74.421875,279.08203125
54,0,189,69,light,1.375,1980.34375,99.0171875,66.01145833333334,247.54296875
52,0,181,60,active,1.725,2260.18125,113.00906250000001,75.339375,282.52265625
61,1,199,65,active,1.725,2749.21875,137.4609375,91.640625,343.65234375
57,0,182,80,very_active,1.9,2833.85,141.6925,94.46166666666666,354.23125
39,1,151,55,active,1.725,2248.96875,112.44843750000001,74.96562499999999,281.12109375
44,1,182,68,very_active,1.9,3044.75,152.2375,101.49166666666666,380.59375
52,0,182,86,moderate,1.55,2443.5750000000003,122.17875000000002,81.45250000000001,305.44687500000003
18,0,190,53,light,1.375,2016.4375,100.821875,67.21458333333334,252.0546875
52,0,162,96,active,1.725,2676.3375,133.816875,89.21125,334.5421875
54,1,179,53,light,1.375,1902.65625,95.1328125,63.421875,237.83203125
64,0,182,69,light,1.375,1851.4375,92.571875,61.71458333333333,231.4296875
31,1,162,59,light,1.375,1997.1875,99.859375,66.57291666666667,249.6484375
20,1,175,73,moderate,1.55,2679.5625,133.978125,89.31875,334.9453125
18,1,171,84,sedentary,1.2,2188.5,109.42500000000001,72.94999999999999,273.5625
22,0,188,75,active,1.725,2853.15,142.6575,95.105,356.64375
